PN_NR;BEZEICHNUNG;MANUELLE_BUCHUNGEN;Aenderung_Release
1517;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1518;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1519;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1520;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1521;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1522;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1523;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1524;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1525;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1526;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1527;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1528;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1529;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1530;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1531;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1532;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1533;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1534;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1535;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1536;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1537;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1538;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1539;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1540;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1541;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1542;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1543;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1544;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1545;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1546;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1547;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1548;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1549;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1550;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1551;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1552;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1553;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1554;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1555;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1556;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1557;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1558;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1559;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1560;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1561;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1562;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1563;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1564;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1565;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1566;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1567;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1568;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1569;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1570;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1571;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1572;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1573;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1574;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1575;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1576;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1577;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1578;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1579;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1580;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1581;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1582;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1583;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1584;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1585;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1586;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1587;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1588;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1589;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1590;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1591;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1592;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1593;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1594;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1595;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1596;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1597;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1598;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1599;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1600;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1601;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1602;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1603;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1604;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1605;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1606;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1607;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1608;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1609;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1610;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1611;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1612;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1613;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1614;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1615;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1616;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1617;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1618;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1619;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1620;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1621;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1622;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1623;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1624;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1625;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1626;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1627;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1628;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1629;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1630;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1631;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1632;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1633;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1634;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1635;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1636;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1637;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1638;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1639;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1640;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1641;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1642;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1643;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1644;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1645;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1646;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1647;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1648;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1649;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1650;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1651;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1652;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1653;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1654;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1655;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1656;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1657;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1658;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1659;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1660;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1661;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1662;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1663;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1664;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1665;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1666;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1667;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1668;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1669;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1670;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1671;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1672;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1673;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1674;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1675;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1676;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1677;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1678;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1679;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1680;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1681;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1682;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1683;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1684;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1685;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1686;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1687;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1688;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1689;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1690;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1691;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1692;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1693;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1694;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1695;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1696;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1697;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1698;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1699;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1700;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1701;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1702;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1703;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1704;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1705;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1706;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1707;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1708;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1709;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1710;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1711;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1712;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1713;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1714;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1715;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1716;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1717;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1718;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1719;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1720;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1721;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1722;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1723;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1724;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1725;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1726;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1727;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1728;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1729;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1730;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1731;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1732;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1733;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1734;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1735;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1736;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1737;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1738;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1739;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1740;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1741;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1742;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1743;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1744;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1745;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1746;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1747;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1748;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1749;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1750;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1751;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1752;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1753;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1754;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1755;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1756;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1757;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1758;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1759;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1760;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1761;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1762;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1763;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1764;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1765;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1766;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1767;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1768;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1769;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1770;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1771;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1772;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1773;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
1774;für Batch-Erfassung und für Schriften- und Belegleser (außer PN 0600 - 0699);X;maschinell_zu_manuell
